#	x	bhikkhupātimokkhapāḷi	pos	grammar	+case	tamil	meaning	lit. meaning	root	rt gp	sign	base	construction	compound type	compound construction	abbrev	source	sentence	aṭṭhakathā	comments	test number	test	unnamed.1	unnamed.2	unnamed.3
1.0	1.0	namo	ind	nom sg of namas	+dat	நமோ	homage (to), respect (to)	bending (to), bowing (to)	√nam (to bend)	1.0	a		√nam + as			NI	nidānuddeso	namo tassa bhagavato arahato sammāsambuddhassa.		audio	2022-05-11	= COUNTIFS(C$2:C2,C2)	C2	C2	1.0
1.0	17.0	tassa	pron	masc dat sg of ta		அவருக்கு	to him									NI	nidānuddeso	namo tassa bhagavato arahato sammāsambuddhassa.			2022-05-11	= COUNTIFS(C$2:C3,C3)	C3	C3	1.0
1.0	5.0	bhagavato	noun	masc dat sg of bhagavantu		பகவானுக்கு	to the Blessed One, Fortunate one	having quality of fortune	√bhaj (to divide)	1.0	a		√bhaj + a + vantu			NI	nidānuddeso	namo tassa bhagavato arahato sammāsambuddhassa.			2022-05-11	= COUNTIFS(C$2:C4,C4)	C4	C4	1.0
1.0	1.0	arahato	noun	masc dat sg of arahanta		அரகந்துக்கு	to the awakened being, enlightened person	worthy one	√arah (to be worthy)	1.0	a		√arah + anta			NI	nidānuddeso	namo tassa bhagavato arahato sammāsambuddhassa.			2022-05-11	= COUNTIFS(C$2:C5,C5)	C5	C5	1.0
1.0	1.0	sammāsambuddhassa	noun	masc dat sg of sammāsambuddha, comp		முழுமையாக ஞானம் அடைந்தவருக்கு	to the perfectly fully awakened being						sammā + sambuddha	abyāyibhāva	sammā + sambuddha	NI	nidānuddeso	namo tassa bhagavato arahato sammāsambuddhassa.			2022-05-11	= COUNTIFS(C$2:C6,C6)	C6	C6	1.0
1.0	1.0	- sammā	ind			முழுமையாக	perfectly, correctly, thoroughly, fully, totally									NI	nidānuddeso	namo tassa bhagavato arahato sammāsambuddhassa.			2022-05-11	= COUNTIFS(C$2:C7,C7)	C7	C7	1.0
1.0	1.0	- sambuddhassa	noun	masc dat sg of sambuddha, pp of sambujjhati		ஞானம் அடைந்தவருக்கு	to the fully enlightened being	fully awakens	√budh (to wake up)	3.0	ya		saṃ + √budh + ta			NI	nidānuddeso	namo tassa bhagavato arahato sammāsambuddhassa.			2022-05-11	= COUNTIFS(C$2:C8,C8)	C8	C8	1.0
 	 																				2022-05-11	#N/A	#N/A	#N/A	
1.0	1.0	suṇātu	verb	imp 3rd person sg of suṇāti	+dat	கேளுங்கள்	please listen, it must listen		√su (to hear)	4.0	ṇā	√su + ṇā > suṇā	suṇā + ti			NI	nidānuddeso	suṇātu me bhante saṅgho			2022-05-11	= COUNTIFS(C$2:C10,C10)	C10	C10	1.0
1.0	4.0	me	pron	1st dat sg of ahaṃ		என்னை	to me									NI	nidānuddeso	suṇātu me bhante saṅgho			2022-05-11	= COUNTIFS(C$2:C11,C11)	C11	C11	1.0
1.0	3.0	bhante	noun	masc voc sg or pl of bhadanta		அய்யாக்களே	venerable(s), lord(s), reverend(s)	good one, lucky one	√bhad (to be good)	1.0	a		√bhad + anta			NI	nidānuddeso	suṇātu me bhante saṅgho			2022-05-11	= COUNTIFS(C$2:C12,C12)	C12	C12	1.0
